dlga_start:dialognotused|error
dlga_kochanka_zakoncz_:kochanka_zakoncz_1|Nie, słabo mi, wołaj proszę cyrulika.
dlga_kochanka_zakoncz_1:close_window|Po tym wszystkim? Koniec? Mnie tak traktujesz? Pożałujesz tego, gorzko, a teraz wynoś się, nie chcę cię więcej widzieć.
dlga_kochanka_zakoncz_:kochanka_zakoncz_1.1|Tak, to koniec.
dlga_kochanka_zakoncz_:kochanka_zakoncz_3|Raczej nie, żegnaj miła.
dlga_kochanka_zakoncz_3:close_window|Bywaj zdrów i uważaj na siebie.
dlga_kochanka:kochanka_bye|Nic już, czas mi w drogę. 
dlga_kochanka_bye:close_window|{s20}
dlga_start:handlarz|{s20}, {s21}
dlga_handlarz:handlarz_zakup|Pokażcie co macie na sprzedaż.
dlga_handlarz:handlarz_bye|Nic, żegnam.
dlga_handlarz_zakup:handlarz|do uzupełnienia
dlga_handlarz_bye:close_window|{s20}
dlga_start:qsyn_finish|{s20}
dlga_qsyn_finish:qsyn_finish4|Rozmawiałem z waszym synem, młody jest, ale duch w nim wielki i ojczyźnie dobrze służyć może. Dajcie mu błogosławieństwo ojcowskie i módlcie się za niego i za Rzeczpospolitą. 
dlga_qsyn_finish:qsyn_finish3|Przykro mi, lecz nie powiodło się wyperswadowanie tych planów. 
dlga_qsyn_finish:qsyn_finish2|Udało mi się przekonać syna waszmościa, przynajmniej na tyle, aby rozważył pozostanie w domu...
dlga_qsyn_finish:qsyn_finish1|Udało mi się, syn pozostanie w domu. 
dlga_qsyn_finish4:close_window|{s20}
dlga_qsyn_finish3:close_window|A, niech was, wiedziałem, że tak to się skończy... co za utrapienie z tym nicponiem. Bywajcie.
dlga_qsyn_finish2:close_window|Dobre chociaż i to, macie tu połowę. Na tyle zapracowaliście.
dlga_qsyn_finish1:close_window|Doprawdy?! Jak żeście tego dokonali? A zresztą, mniejsza o to. Całym sercem dziękuję! Naści tu mieszek, pięć setek, nie mniej. Niech wam dobrze służą. 
dlga_start:qsyn_talk|{s20}
dlga_qsyn_talk:qsyn_talk2|Wasz Ojciec mnie przysyła.
dlga_qsyn_talk2:qsyn_talk3|{s20}
dlga_qsyn_talk3:qsyn_talk_convince|Wszyscy moi druhowie do kompanii wolentarskich idą, do piechoty i do kawalerii, a jeden to nawet do artylerii... a ja co? Siedzieć  w domu z babami i starcami mam? 
dlga_qsyn_talk_convince:qsyn_talk_convince_1|Masz rację, lecz ojciec  słusznie się niepokoi.  
dlga_qsyn_talk_convince_1:qsyn_talk_convince_1_1|Ojciec twój słusznie się niepokoi, co zrobi jak nie wrócisz albo wrócisz kaleką? Potrzebują cię chłopcze. Bez ciebie ciężko im będzie wyżyć w niepewnych czasach...
dlga_qsyn_talk_convince_1_1:qsyn_end|Cóż, wiele racji waszmość ma... przekażcie ojcu, iż ostanę w domu, najmniej do lata, a może i dłużej. 
dlga_qsyn_talk_convince_1_1:qsyn_end.1|Hmm... racji wiele macie. Ale nijak mi teraz odstępować, wszystko już podpisałem. Przekaż jednak memu ojcu, że zastanowię się jeszcze... nie mówię, że zostanę, ale pomyśleć muszę, teraz idźcie już. 
dlga_qsyn_talk_convince_1_1:qsyn_end.2|Doprawdy? Przykro mi, lecz nie mogę rezygnować żadną miarą...
dlga_qsyn_talk_convince:qsyn_talk_convince_2|Nie raz wojnę widziałem.
dlga_qsyn_talk_convince_2:qsyn_talk_tell|Wojnę widziałem nie raz i nie dwa, nie z jednej bitwy ledwo z życiem wyszedłem, nie raz zwycięski, lecz wiem ilu ludzi życie straciło. Zatem nie dziw się ojcu, że chcecie zatrzymać przy sobie. O śmierć na polu bitwy nietrudno, wierzcie mi, tym bardziej, żem człowiek bywały i doświadczony w tej materii. Nie raz zapewne o mnie słyszałeś...
dlga_qsyn_talk_tell:qsyn_end_2|Ano, słyszałem wiele o waszmościa przewagach to fakt...
dlga_qsyn_talk_tell:close_window|Hę? A któż cie jest ażebym miał o was coś słyszeć? Dajcież waszmość spokój, bo nie ręczę za siebie. 
dlga_qsyn_talk_convince:qsyn_talk_convince_3|Racja jest po twojej stronie.
dlga_qsyn_talk_convince_3:close_window|Wreszcie ktoś rozsądny! No to teraz wróćcie do mego Ojca i wyłóżcie mu moje racje.
dlga_qsyn_end:qsyn_endd|Ano, skoro tak rzekliście, tedy nic tu po mnie.
dlga_qsyn_end:qsyn_endd.1|Niech będzie, oponował dłużej nie będę, jednak dobrze to rozważ w swym sumieniu. 
dlga_qsyn_end:qsyn_endd.2|Wiedziałem, iż rozsądni jesteście. Wierzcie mi, tak lepiej będzie.
dlga_qsyn_endd:close_window|Racja i przekażcie, aby więcej przysyłać nikogo nie próbowali... mam ja już dosyć tych namów, przekupstw i argumentacyji nietrafionych.
dlga_qsyn_endd:close_window.1|Z pewnością tak uczynię i to przekażcie memu ojcu.
dlga_qsyn_endd:close_window.2|Lepiej nie, zwłaszcza dla Ojczyzny... jednak jak waszmość rzekł, mus mi ostać i bronić rodziny. Przekażcie tedy memu ojcu nowinę. 
dlga_qsyn_end_2:close_window|Nijak się mają jednak opowieści do rzeczywistości jak widzę.
dlga_qsyn_end_2:close_window.1|Przekażcie, że rozważę pozostanie w domu, ale nic więcej obiecać nie mogę. 
dlga_qsyn_end_2:close_window.2|Przekażcie memu ojcu, że póki co ostanę w domu, a później to się zobaczy co nam przyszłość przyniesie. 
dlga_start:close_window.10|Jestem zajęta teraz, do widzenia.
dlga_start:close_window.11|Eh, znowu waszmość? Nie nudźcie mnie.
dlga_start:close_window.12|Odejdźcie z łaski swojej...
dlga_uciekinier_1:uciekinier_ask_karczmarz|Poszukuję nijakiego Chorążego Świstackiego, był taki u was w gościenie? Chłop to potężnej postury, wielki niczym dąb. Napić się chciałem ze starym druhem, a teraz odszukać nie mogę...
dlga_uciekinier_ask_karczmarz:uciekinier_ask_karczmarz2|Chorąży Świstacki? Hmm, coś słyszałem, aliści za nic nie mogę sobie przypomnieć... widzicie, ja tu tylko strawę warzę i kufle na świętego Wita myje, cóż ja mogłem widzieć?
dlga_uciekinier_ask_karczmarz2:uciekinier_ask|Może to odświeży ci pamięć. (5 złociszy)
dlga_uciekinier_ask_karczmarz2:close_window|Przyjdę w takim razie później.
dlga_uciekinier_ask:uciekinier_info|Hmm... w rzeczy samej, zaczynam sobie przypominać!
dlga_uciekinier_info:uciekinier_info_bye|Widziałem takiego człeka, przejeżdżał niedaleko stąd traktem w stronę {s21}. Było to niedawno, gdy karczmę otwierałem, jak pojedziecie teraz to jeszcze dogonicie.
dlga_uciekinier_info:uciekinier_info_bye.1|Widziałem takiego człeka, był tutaj {reg21} dni temu i pojechał w stronę {s21}. Nic jednak więcej o nim, ani celu jego podróży nie wiem.
dlga_uciekinier_info:uciekinier_info_bye.2|Nie, jednak nie ten. Był niski i chudy i na chorążego to najmniej wyglądał, prędzej na dezertera, a tej hołoty ci u nas dostatek. Więc nie, nie było waszmości kompana. Przekazać coś jak się zjawi?
dlga_uciekinier_info_bye:close_window|To mój kompan! Dopędzę go na trakcie, bywajcie.
dlga_uciekinier_info_bye:close_window.1|Skoro tak będę dalej szukał, bywajcie.
dlga_uciekinier_info_bye:close_window.2|Raczej nie, a na pewno nie wspominajcie, że pytałem o niego. Chcę sprawić mu niespodziankę.
dlga_start:uciekinier_karczma_1|Przednie trunki mają w tym szynku, napije się waszmość?
dlga_start:close_window.13|Poddaję się, jestem waszym jeńcem. 
dlga_uciekinier_karczma_pojedynek:close_window|Zgoda, walczmy.
dlga_uciekinier_karczma_pojedynek2:close_window|Zaczynajmy.
dlga_uciekinier_karczma_1:close_window|Chętnie.
dlga_uciekinier_karczma_1:uciekinier_karczma_poznaj|Wpierw chciałbym wiedzieć z kim to przyjemność mam.
dlga_uciekinier_karczma_poznaj:uciekinier_karczma_poznaj2|Wybaczcie iż się nie przedstawiłem. Jestem oficer TUTAJ NAZWA OFICERA i nazwisko, z nazwa jednostki. Podróżuję z meldunkiem do Krakowa.
dlga_uciekinier_karczma_poznaj2:uciekinier_karczma_poznaj3|Do Krakowa? A kogo poszukujecie?
dlga_uciekinier_karczma_poznaj3:uciekinier_karczma_poznaj4|Do generała Kościuszki, osobiście mam dostarczyć mu pismo.
dlga_uciekinier_karczma_poznaj4:uciekinier_karczma_poznaj5|Kłamiesz.
dlga_uciekinier_karczma_poznaj5:uciekinier_karczma_poznaj6|Łżesz! Pewnym trafem Naczelnik nie urzęduje w Krakowie od miesiąca. Moglibyście mi to wytłumaczyć?
dlga_uciekinier_karczma_poznaj6:uciekinier_karczma_pojedynek|Kłam mi waszmość zadajesz?! Zapłacisz mi za to. ^ Stawaj tu i teraz, na rapiery.
dlga_uciekinier_karczma_poznaj6:uciekinier_karczma_pojedynek.1|Kłam mi waszmość zadajesz?! Zapłacisz mi za to. ^ Stawaj tu i teraz, na pistolety.
dlga_uciekinier_karczma_poznaj4:close_window|Dość już wiem, napijmy się.
dlga_uciekinier_karczma_poznaj2:close_window|Napijmy się więc, nim ruszymy w drogę.
dlga_uciekinier_karczma_1:uciekinier_karczma_przyznaj|Nim wyciągnę kajdany, gadaj coś za jeden! 
dlga_uciekinier_karczma_przyznaj:uciekinier_karczma_przyznaj2|Waszmość na umyśle szwankuje? Cyrulika wezwać?
dlga_uciekinier_karczma_przyznaj2:uciekinier_karczma_przyznaj3|Jakże to tak do oficera się zwracać, na służbie?
dlga_uciekinier_karczma_przyznaj3:uciekinier_karczma_przyznaj4|Milcz! I gadaj! Ktoś zacz i skąd, bo nie ręczę za siebie!
dlga_uciekinier_karczma_przyznaj4:uciekinier_karczma_przyznaj5|Parałem się naukami, astronomią, fizyką, a i od medycyny nigdy nie stroniłem... jak trzeba krwi upuścić, to rzeknij, waszmość słowo.
dlga_uciekinier_karczma_przyznaj5:uciekinier_karczma_przyznaj6|Nie ujdzie ci to płazem! Stawaj do pojedynku.
dlga_uciekinier_karczma_przyznaj6:uciekinier_karczma_przyznaj7|Biorę obecnych tu na świadków, ten oto człowiek mieniący się oficerem wyzwał mnie na szable, nie ja jego...^ na pistolety czy rapiery?
dlga_uciekinier_karczma_przyznaj7:uciekinier_karczma_pojedynek2|Pistolety
dlga_uciekinier_karczma_przyznaj7:uciekinier_karczma_pojedynek2.1|Rapiery
dlga_start:uciekinier_catch1|Hej, ty tam! Stój!
dlga_uciekinier_catch1:uciekinier_catch2|Wyście jest Chorąży Świstacki?
dlga_uciekinier_catch2:uciekinier_catch3|Może ja, może nie ja. A wy czego?
dlga_uciekinier_catch3:uciekinier_catch4|{s69} {playername}, przychodzę z rozkazem od Naczelnika.
dlga_uciekinier_catch4:uciekinier_catch5|Za dezercję nakładam na ciebie areszt. Pojedziecie teraz ze mną do Naczelnika Kościuszki.
dlga_uciekinier_catch5:uciekinier_catch6|Do mnie tak?! Bohatera z bitwy Racławickiej ?! Jak śmiesz!
dlga_uciekinier_catch6:close_window|Teraz już dezertera. Ruszamy. 
dlga_start:uciekinier_first1|Czołem, kogo ja widzę? Nie spodziewałem się ciebie w tym miejscu spotkać. Rad jest wielce, dobrze zobaczyć starego druha. Widzę, że i stopnia się dosłużyłeś i regimentu niezgorszego, winszują.
dlga_uciekinier_first1:uciekinier_first2|Witam waszmościa. Widzę, że i wy oficerem zostaliście. Znaczny to zaszczyt.
dlga_uciekinier_first2:uciekinier_first3|nie ma tego
dlga_uciekinier_first2:uciekinier_first_tukaj|Racja, i mi się poszczęściło... ^Ciepły dziś dzień, aż w gardle zaschło. Co powiesz na kufel czy dwa w pobliskiej karczmie. Słyszałem, że zacne piwo mają, w sam raz na pogawędkę.
dlga_uciekinier_first_tukaj:uciekinier_a1|To nie jest dobry moment, musimy pomówić. 
dlga_uciekinier_a1:uciekinier_b1|Widzisz, otrzymałem rozkaz aresztowania człowieka kręcącego się w okolicy i podającego za oficera. Niestety wszystko wskazuje na waszmościa i nie może być tutaj mowy o pomyłce.
dlga_uciekinier_b1:uciekinier_c1|{playername}, znamy się nie od dziś, nie przeczę twym zarzutom, daj mi jednak możliwość wytłumaczenia się. 
dlga_uciekinier_c1:uciekinier_c2|Otóż czas jakiś temu byłem wraz z panią X, damą bliską memu sercu, na balu wydanym przez jednego z magnatów i najzacieklejszych Targowiczan. Było tam wielu targowiczan, jak i rosyjskich oficerów. Ja natomiast miałem zasłyszeć i wynieść jak najwięcej.
dlga_uciekinier_c2:uciekinier_c3|Nie wszystko poszło jednak po mojej myśli, ktoś mnie rozpoznał i nas pochwycili. Cóż miałem mogłem zrobić gdy grozili A! Nastawali na jej życie, rozumiesz?! Musiałem przyjąć każdy warunek.
dlga_uciekinier_c3:uciekinier_d1|W zamian za jej życie zażądali ode mnie, abym szpiegował w przebraniu oficera i dostarczał informacje. Dlatego też w tym miejscu się znalazłem. 
dlga_uciekinier_d1:uciekinier_d2|Pomogę ci.
dlga_uciekinier_d2:uciekinier_d22|Mogę ci pomóc.
dlga_uciekinier_d22:uciekinier_d222|A jak ty możesz mi pomóc? Jak tylko przestanę dowozić im raport zabiją ją. 
dlga_uciekinier_d222:uciekinier_d2222|Aby cokolwiek móc przedsięwziąć, wpierw musisz być wolny. 
dlga_uciekinier_d2222:uciekinier_d22222|Jakie możemy zrobić?
dlga_uciekinier_d22222:uciekinier_d5|Znajdziemy kogoś na twoje miejsce. 
dlga_uciekinier_d5:uciekinier_help|Znajdę jakiegoś łotra i dostarczę w twoje miejsce. Tymczasem zaczekasz tutaj, a ja za kilka dni wrócę.
dlga_uciekinier_d22222:uciekinier_d6|Oddasz mi swój mundur, jako dowód twej śmierci. 
dlga_uciekinier_d6:uciekinier_help|Oddasz mi swój mundur, a ja zawiozę go z wiadomością o twej śmierci. Tymczasem zaczekasz tutaj, a ja za kilka dni wrócę.
dlga_uciekinier_help:close_window|Zgoda {playername}, zaczekam, lecz nie dłużej niż kilka dni.  
dlga_uciekinier_d1:uciekinier_d3|Rozumiem, nic to jednak nie zmienia.
dlga_uciekinier_d3:uciekinier_d33|Rozumiem, jednak nie mogę aby prywata triumfowała nad dobrem ojczyzny. Muszę cię aresztować.
dlga_uciekinier_d33:uciekinier_d333|Nie zmarnuję mojej szansy na uratowanie X.
dlga_uciekinier_d333:uciekinier_d3333|Miałbym pojedynkować się ze skazańcem?
dlga_uciekinier_d3333:uciekinier_tukaj_duel|Innego wyjścia niema, rozstrzygnijmy spór tu i teraz. 
dlga_uciekinier_tukaj_duel:uciekinier_tukaj_duel2|Daję ci możliwość wyboru, pistolety czy rapiery?
dlga_uciekinier_tukaj_duel2:uciekinier_tukaj_pojedynek|Pistolety
dlga_uciekinier_tukaj_duel2:uciekinier_tukaj_pojedynek.1|Rapiery
dlga_uciekinier_tukaj_duel2:uciekinier_tukaj_explain|Nie chcę się pojedynkować. 
dlga_uciekinier_tukaj_explain:uciekinier_c1|Pozwól więc, że ci wyjaśnię. 
dlga_uciekinier_tukaj_pojedynek:close_window|Zaczynajmy więc, jeśli niema innej dla nas drogi. 
dlga_uciekinier_first_tukaj:uciekinier_a2|Miałbym pić ze zdrajcą?
dlga_uciekinier_a2:uciekinier_a22|Widzę więc, iż nie przypadkiem się nasze drogi krzyżują. Nie spytasz o powód? 
dlga_uciekinier_a22:uciekinier_f1|Powód mnie nie interesuje.  
dlga_uciekinier_f1:uciekinier_tukaj_duel3|To nie jest dobry wybór {playername}. Ja nie mogę zmarnować mojej szansy na uratowanie X. Widzę dla nas jedną drogę, pojedynek.
dlga_uciekinier_tukaj_duel3:uciekinier_tukaj_duel4|Daję ci możliwość wyboru, pistolety czy rapiery?
dlga_uciekinier_tukaj_duel4:uciekinier_tukaj_pojedynek|Pistolety
dlga_uciekinier_tukaj_duel4:uciekinier_tukaj_pojedynek.1|Rapiery
dlga_uciekinier_tukaj_duel4:uciekinier_tukaj_explain|O jakiej X mówisz? 
dlga_uciekinier_a22:uciekinier_c1|Mów, byle prędko. 
dlga_uciekinier_first3:uciekinier_first4|Hmm... skoro nalegacie, tedy jedźmy. Chciałbym jednak wcześniej stanąć na popas w pobliskiej karczmie {s0}. Nie macie aby nic przeciwko?
dlga_uciekinier_first4:close_window|Skądże. Z największą przyjemnością wychylę kufel, albo i dwa. Ruszajmy.
dlga_prowokuj:prowokuj_0|{s20}
dlga_prowokuj_0:prowokuj_1|Nowe podatki.
dlga_prowokuj_1:prowokuj_1_2|Podobno wkrótce zostaną wprowadzone nowe podatki, tak przyjaciel mego wuja mówił mi, a to urzędas pełną gębą, wszystko wie, co jak i kiedy.
dlga_prowokuj_1_2:close_window|Niech tam, całe szczęście jestem tu tylko przejazdem. 
dlga_prowokuj_0:prowokuj_2|Zakaz handlu bronią. 
dlga_prowokuj_2:prowokuj_2_2|Słyszałem od stryja, a to wysoko postawiony urzędnik, że władza zamiaruje nowe podatki wprowadzić od towarów zagranicznych i dla rusznikarzy, co by sprzedawać tanio broni nie mogli.
dlga_prowokuj_2_2:close_window|Doprawdy? Skaranie boskie, całe szczęście, że u mnie w domu broni pod dostatek. Co by nie było rozgłoszę wśród szlachty, żeby zbroiła się na wszelaki wypadek...
dlga_prowokuj_0:prowokuj_3|Odebranie praw ubogiej szlachcie. 
dlga_prowokuj_3:prowokuj_3_2|Słyszałem od stryja, a to wysoko postawiony urzędnik, że władza zamiaruje prawa odebrać uboższej szlachcie, podobno ma to zapobiec ewentualnym rozruchom.
dlga_prowokuj_3_2:close_window|Co?! Nie może to być! Jak to tak odbierać prawa, toż to skandal! Z pewnością skończy się to buntem! Dziękuję waszmości za wiadomość, czym prędzej powiadomię kogo trzeba.
dlga_prowokuj_1:prowokuj_1_2.1|Słyszałem od stryja, a to wysoko postawiony urzędnik, że władza zamiaruje nowe podatki wprowadzić od towarów zagranicznych i dla rusznikarzy, co by sprzedawać tanio broni nie mogli.
dlga_prowokuj_1_2:close_window.1|A to bandyci! Nie pozwolimy, żeby ściągali z nas więcej niż już ściągają! Prędzej na ulice zbrojnie wyjdziemy! Dziękuję waszmości stokrotnie za wiadomość, czym prędzej powiadomię innych kupców i mieszczan.
dlga_prowokuj_0:prowokuj_2.1|Zakaz handlu. 
dlga_prowokuj_2:prowokuj_2_2.1|Na mieście mówi się, że zakaz handlu będzie, a przynajmniej znacznie ukrócić zamierzają dotychczasowe swobody, żeby zlikwidować pokątny handel bronią i alkoholami. Już podobno zarekwirowali towary kilku kupców.
dlga_prowokuj_2_2:close_window.1|Zakaz handlu?! Jakże to tak, przecie do szczętu nas zrujnują, cała rodzina żyje u mnie z tego co zarobię na obrocie towarem. Ale pokażemy łajdakom gdzie raki zimują, pokażemy...  
dlga_prowokuj_0:prowokuj_3.1|Zmiany w prawie. 
dlga_prowokuj_3:prowokuj_3_2.1|Podobno prawo zmienić ma się i zabronią zgromadzeń publicznych na najbliższy czas... tak wuj mi mówił, a on zna się we wszystkich co dzieje się wokół.
dlga_prowokuj_3_2:close_window.1|Oby im i w piekle miejsca zbrakło! Kara boska jako żywo na nich przyjdzie, zobaczysz waszmość.
dlga_prowokuj_1:prowokuj_1_2.2|Słyszałem od jednego z wysoko postawionych przyjaciół, że mają zostać zaprowadzone nowe podatki od towarów zwyczajnych i płócien. Oj, niedobrze dzieje się w państwie...
dlga_prowokuj_1_2:close_window.2|Kolejne? Chcieli rozruchów, to się ich z pewnością doczekają! Więcej nad to co płacimy nie będziemy! 
